Category,ID,Description,Count,Percentage,p.adjust
BP,GO:0045071,negative regulation of viral genome replication,13,5.508474576271186,5.631246429749078e-10
BP,GO:0048525,negative regulation of viral process,15,6.3559322033898304,6.817701117121617e-10
BP,GO:0051607,defense response to virus,24,10.16949152542373,7.703594721879634e-10
BP,GO:0140546,defense response to symbiont,24,10.16949152542373,7.703594721879634e-10
BP,GO:0009615,response to virus,27,11.440677966101696,1.4471183128532255e-9
BP,GO:1903900,regulation of viral life cycle,16,6.779661016949152,2.013928428614397e-8
BP,GO:0045069,regulation of viral genome replication,13,5.508474576271186,2.6484941930154494e-8
BP,GO:0050792,regulation of viral process,16,6.779661016949152,1.3137845601612956e-7
BP,GO:0034340,response to type I interferon,12,5.084745762711865,1.9495277815405346e-7
BP,GO:0019079,viral genome replication,14,5.932203389830509,3.1099528209279887e-7
BP,GO:0071357,cellular response to type I interferon,11,4.661016949152542,9.64170676685212e-7
BP,GO:0019221,cytokine-mediated signaling pathway,25,10.59322033898305,1.0377417276785936e-6
BP,GO:0019058,viral life cycle,19,8.050847457627118,6.716925981132446e-6
BP,GO:0060337,type I interferon-mediated signaling pathway,10,4.23728813559322,8.937941424618933e-6
BP,GO:0016032,viral process,20,8.47457627118644,1.0876018037761052e-4
BP,GO:0140888,interferon-mediated signaling pathway,10,4.23728813559322,1.0876018037761052e-4
BP,GO:0035456,response to interferon-beta,6,2.5423728813559325,4.8450866841916185e-4
BP,GO:0060338,regulation of type I interferon-mediated signaling pathway,6,2.5423728813559325,0.0023827137886262427
BP,GO:0001819,positive regulation of cytokine production,19,8.050847457627118,0.0025296106044027434
BP,GO:0060670,branching involved in labyrinthine layer morphogenesis,4,1.694915254237288,0.0025296106044027434
BP,GO:0035455,response to interferon-alpha,4,1.694915254237288,0.009808579884742721
BP,GO:0002643,regulation of tolerance induction,4,1.694915254237288,0.013899921627976805
BP,GO:0060339,negative regulation of type I interferon-mediated signaling pathway,4,1.694915254237288,0.013899921627976805
BP,GO:0032728,positive regulation of interferon-beta production,5,2.11864406779661,0.014344198255536303
BP,GO:0032481,positive regulation of type I interferon production,6,2.5423728813559325,0.01627680893496364
BP,GO:0032069,regulation of nuclease activity,4,1.694915254237288,0.016898647120136067
BP,GO:0046597,negative regulation of viral entry into host cell,4,1.694915254237288,0.016898647120136067
BP,GO:0060713,labyrinthine layer morphogenesis,4,1.694915254237288,0.016898647120136067
BP,GO:0001959,regulation of cytokine-mediated signaling pathway,9,3.8135593220338984,0.027801477456537056
BP,GO:0002831,regulation of response to biotic stimulus,16,6.779661016949152,0.028679423906478624
BP,GO:0140374,antiviral innate immune response,4,1.694915254237288,0.028679423906478624
BP,GO:1903901,negative regulation of viral life cycle,4,1.694915254237288,0.028679423906478624
BP,GO:0039530,MDA-5 signaling pathway,3,1.2711864406779663,0.028679423906478624
BP,GO:0046596,regulation of viral entry into host cell,5,2.11864406779661,0.030860850944563693
BP,GO:0060669,embryonic placenta morphogenesis,4,1.694915254237288,0.030860850944563693
BP,GO:0006650,glycerophospholipid metabolic process,12,5.084745762711865,0.03652063506345523
BP,GO:0060759,regulation of response to cytokine stimulus,9,3.8135593220338984,0.03652063506345523
BP,GO:0045824,negative regulation of innate immune response,6,2.5423728813559325,0.03781032997466683
BP,GO:0002683,negative regulation of immune system process,16,6.779661016949152,0.03898002086959284
BP,GO:0002664,regulation of T cell tolerance induction,3,1.2711864406779663,0.03898002086959284
BP,GO:0031349,positive regulation of defense response,15,6.3559322033898304,0.03898002086959284
BP,GO:0002507,tolerance induction,4,1.694915254237288,0.03898002086959284
BP,GO:0009395,phospholipid catabolic process,5,2.11864406779661,0.042298764761045965
BP,GO:0045762,positive regulation of adenylate cyclase activity,4,1.694915254237288,0.042298764761045965
BP,GO:0002526,acute inflammatory response,7,2.9661016949152543,0.04288022893290934
BP,GO:0052372,modulation by symbiont of entry into host,5,2.11864406779661,0.04354865591833035
BP,GO:0032608,interferon-beta production,5,2.11864406779661,0.04535807061774738
BP,GO:0032648,regulation of interferon-beta production,5,2.11864406779661,0.04535807061774738
BP,GO:0050878,regulation of body fluid levels,13,5.508474576271186,0.04625966818956697
BP,GO:0046718,viral entry into host cell,8,3.389830508474576,0.046602685703930606
BP,GO:0002718,regulation of cytokine production involved in immune response,7,2.9661016949152543,0.048276775820854934
BP,GO:0002517,T cell tolerance induction,3,1.2711864406779663,0.048276775820854934
BP,GO:0030225,macrophage differentiation,5,2.11864406779661,0.048276775820854934
BP,GO:0050727,regulation of inflammatory response,14,5.932203389830509,0.04841355791974447
BP,GO:0046475,glycerophospholipid catabolic process,4,1.694915254237288,0.04841355791974447
BP,GO:0002367,cytokine production involved in immune response,7,2.9661016949152543,0.04907602696695614
MF,GO:0046935,1-phosphatidylinositol-3-kinase regulator activity,4,1.6528925619834711,0.029951370457483598
MF,GO:0035014,phosphatidylinositol 3-kinase regulator activity,4,1.6528925619834711,0.029951370457483598
MF,GO:0004622,lysophospholipase activity,4,1.6528925619834711,0.029951370457483598
MF,GO:0016298,lipase activity,8,3.3057851239669422,0.029951370457483598
MF,GO:0003725,double-stranded RNA binding,6,2.479338842975207,0.029951370457483598
MF,GO:0004620,phospholipase activity,7,2.8925619834710745,0.03553396371841904
CC,GO:0034774,secretory granule lumen,13,5.284552845528456,0.017283192004884523
CC,GO:0060205,cytoplasmic vesicle lumen,13,5.284552845528456,0.017283192004884523
CC,GO:0062023,collagen-containing extracellular matrix,15,6.097560975609756,0.017283192004884523
CC,GO:0031983,vesicle lumen,13,5.284552845528456,0.017283192004884523
CC,GO:1990454,L-type voltage-gated calcium channel complex,3,1.2195121951219512,0.019019754309888965
CC,GO:0005942,phosphatidylinositol 3-kinase complex,4,1.6260162601626018,0.019019754309888965
CC,GO:0031089,platelet dense granule lumen,3,1.2195121951219512,0.02320087360480494
CC,GO:0043292,contractile fiber,10,4.0650406504065035,0.033415025426027936
