Category,ID,Description,Count,Percentage,p.adjust
BP,GO:0002697,regulation of immune effector process,44,6.508875739644971,7.267995476239239e-8
BP,GO:0002449,lymphocyte mediated immunity,37,5.473372781065089,1.887648982942682e-7
BP,GO:0002715,regulation of natural killer cell mediated immunity,15,2.2189349112426036,3.889306421071016e-7
BP,GO:0002228,natural killer cell mediated immunity,18,2.6627218934911245,3.889306421071016e-7
BP,GO:0002831,regulation of response to biotic stimulus,46,6.8047337278106506,5.908964728501948e-7
BP,GO:0002443,leukocyte mediated immunity,42,6.21301775147929,5.908964728501948e-7
BP,GO:0042269,regulation of natural killer cell mediated cytotoxicity,14,2.0710059171597637,6.204752931623544e-7
BP,GO:0042267,natural killer cell mediated cytotoxicity,17,2.514792899408284,8.188590927485196e-7
BP,GO:0031341,regulation of cell killing,20,2.9585798816568047,1.275982393963844e-6
BP,GO:0045088,regulation of innate immune response,38,5.621301775147929,4.949943145728432e-6
BP,GO:0001906,cell killing,26,3.8461538461538463,5.535176508688651e-6
BP,GO:0001909,leukocyte mediated cytotoxicity,21,3.106508875739645,1.1275807600298664e-5
BP,GO:0001819,positive regulation of cytokine production,44,6.508875739644971,1.1275807600298664e-5
BP,GO:0031349,positive regulation of defense response,41,6.06508875739645,1.212363407249371e-5
BP,GO:0009615,response to virus,39,5.769230769230769,1.212363407249371e-5
BP,GO:0001910,regulation of leukocyte mediated cytotoxicity,17,2.514792899408284,1.4432773975123351e-5
BP,GO:0002706,regulation of lymphocyte mediated immunity,24,3.5502958579881656,1.6266497235890964e-5
BP,GO:0051607,defense response to virus,32,4.733727810650888,1.7193053411067005e-5
BP,GO:0140546,defense response to symbiont,32,4.733727810650888,1.7193053411067005e-5
BP,GO:0045071,negative regulation of viral genome replication,13,1.9230769230769231,1.7193053411067005e-5
BP,GO:0002683,negative regulation of immune system process,43,6.3609467455621305,1.7193053411067005e-5
BP,GO:0002717,positive regulation of natural killer cell mediated immunity,10,1.4792899408284024,2.46960974192839e-5
BP,GO:0048525,negative regulation of viral process,16,2.366863905325444,2.729170435923964e-5
BP,GO:0048608,reproductive structure development,31,4.5857988165680474,3.6977902311932794e-5
BP,GO:0061458,reproductive system development,31,4.5857988165680474,4.763132478497413e-5
BP,GO:0045954,positive regulation of natural killer cell mediated cytotoxicity,9,1.3313609467455623,4.857284438100946e-5
BP,GO:0051960,regulation of nervous system development,40,5.9171597633136095,6.0412764916052045e-5
BP,GO:0031343,positive regulation of cell killing,14,2.0710059171597637,6.123099000746062e-5
BP,GO:0032102,negative regulation of response to external stimulus,39,5.769230769230769,6.478247060685878e-5
BP,GO:0050727,regulation of inflammatory response,37,5.473372781065089,7.314843168046789e-5
BP,GO:1903900,regulation of viral life cycle,19,2.8106508875739644,1.590151664919796e-4
BP,GO:0002703,regulation of leukocyte mediated immunity,26,3.8461538461538463,1.6410014971175854e-4
BP,GO:0051962,positive regulation of nervous system development,28,4.142011834319527,1.8886292103107114e-4
BP,GO:0035456,response to interferon-beta,9,1.3313609467455623,1.8886292103107114e-4
BP,GO:0002699,positive regulation of immune effector process,27,3.9940828402366866,2.216785180028734e-4
BP,GO:0019058,viral life cycle,30,4.437869822485207,2.812605388529275e-4
BP,GO:0048638,regulation of developmental growth,30,4.437869822485207,4.5227788862075614e-4
BP,GO:0001912,positive regulation of leukocyte mediated cytotoxicity,12,1.7751479289940828,5.615791923491326e-4
BP,GO:0007548,sex differentiation,27,3.9940828402366866,6.002480239761212e-4
BP,GO:0014068,positive regulation of phosphatidylinositol 3-kinase signaling,13,1.9230769230769231,0.001004990837015916
BP,GO:0048639,positive regulation of developmental growth,19,2.8106508875739644,0.001004990837015916
BP,GO:0050792,regulation of viral process,19,2.8106508875739644,0.001004990837015916
BP,GO:0071634,regulation of transforming growth factor beta production,9,1.3313609467455623,0.0011223010529366785
BP,GO:0045765,regulation of angiogenesis,30,4.437869822485207,0.001299076556021982
BP,GO:0045069,regulation of viral genome replication,13,1.9230769230769231,0.0013350911289051375
BP,GO:0002708,positive regulation of lymphocyte mediated immunity,16,2.366863905325444,0.0013499152609635916
BP,GO:0006968,cellular defense response,10,1.4792899408284024,0.0014705493128540747
BP,GO:1901342,regulation of vasculature development,30,4.437869822485207,0.001654073910771822
BP,GO:0019079,viral genome replication,16,2.366863905325444,0.0017103420608955869
BP,GO:0071604,transforming growth factor beta production,9,1.3313609467455623,0.0018058244919296844
BP,GO:0045824,negative regulation of innate immune response,12,1.7751479289940828,0.002104826787610552
BP,GO:0019221,cytokine-mediated signaling pathway,37,5.473372781065089,0.0021595890528611048
BP,GO:0007411,axon guidance,22,3.2544378698224854,0.0021595890528611048
BP,GO:0097485,neuron projection guidance,22,3.2544378698224854,0.0021595890528611048
BP,GO:0002833,positive regulation of response to biotic stimulus,28,4.142011834319527,0.0021595890528611048
BP,GO:0002705,positive regulation of leukocyte mediated immunity,17,2.514792899408284,0.002280013884762408
BP,GO:0002698,negative regulation of immune effector process,15,2.2189349112426036,0.002931413305275812
BP,GO:0048863,stem cell differentiation,23,3.4023668639053253,0.002931413305275812
BP,GO:0007409,axonogenesis,33,4.881656804733728,0.0031588629150068118
BP,GO:0050769,positive regulation of neurogenesis,22,3.2544378698224854,0.0031588629150068118
BP,GO:0046718,viral entry into host cell,17,2.514792899408284,0.0031702815992662877
BP,GO:0050808,synapse organization,35,5.177514792899409,0.0031702815992662877
BP,GO:0045137,development of primary sexual characteristics,22,3.2544378698224854,0.0031702815992662877
BP,GO:0034340,response to type I interferon,12,1.7751479289940828,0.0031702815992662877
BP,GO:0050729,positive regulation of inflammatory response,17,2.514792899408284,0.003270591553003515
BP,GO:0060560,developmental growth involved in morphogenesis,22,3.2544378698224854,0.003270591553003515
BP,GO:0002456,T cell mediated immunity,15,2.2189349112426036,0.0033552685287005684
BP,GO:0050770,regulation of axonogenesis,17,2.514792899408284,0.003404106148166055
BP,GO:0042130,negative regulation of T cell proliferation,11,1.6272189349112427,0.0036228443365066048
BP,GO:0014066,regulation of phosphatidylinositol 3-kinase signaling,14,2.0710059171597637,0.0036228443365066048
BP,GO:0050767,regulation of neurogenesis,30,4.437869822485207,0.0041883593746332975
BP,GO:0002526,acute inflammatory response,14,2.0710059171597637,0.004287727127136898
BP,GO:0014065,phosphatidylinositol 3-kinase signaling,16,2.366863905325444,0.004446225031227395
BP,GO:0050777,negative regulation of immune response,19,2.8106508875739644,0.004446225031227395
BP,GO:0044409,entry into host,17,2.514792899408284,0.004565372243423645
BP,GO:0061564,axon development,35,5.177514792899409,0.004565372243423645
