Category,ID,Description,Count,Percentage,p.adjust
BP,GO:0002228,natural killer cell mediated immunity,17,3.8901601830663615,9.88710188370969e-9
BP,GO:0002449,lymphocyte mediated immunity,31,7.093821510297483,9.88710188370969e-9
BP,GO:0002715,regulation of natural killer cell mediated immunity,14,3.203661327231121,1.0058390508715944e-8
BP,GO:0031341,regulation of cell killing,19,4.3478260869565215,1.0058390508715944e-8
BP,GO:0042267,natural killer cell mediated cytotoxicity,16,3.6613272311212817,1.5351080584759186e-8
BP,GO:0001906,cell killing,24,5.491990846681922,2.8586102033171198e-8
BP,GO:0042269,regulation of natural killer cell mediated cytotoxicity,13,2.9748283752860414,2.8586102033171198e-8
BP,GO:0001909,leukocyte mediated cytotoxicity,20,4.576659038901601,4.53198066770094e-8
BP,GO:0002443,leukocyte mediated immunity,34,7.780320366132723,4.8363255634101205e-8
BP,GO:0002697,regulation of immune effector process,32,7.322654462242563,2.3638239427027414e-7
BP,GO:0001910,regulation of leukocyte mediated cytotoxicity,16,3.6613272311212817,2.3638239427027414e-7
BP,GO:0031343,positive regulation of cell killing,14,3.203661327231121,5.249434319127163e-7
BP,GO:0002717,positive regulation of natural killer cell mediated immunity,10,2.2883295194508007,5.697995749447507e-7
BP,GO:0002706,regulation of lymphocyte mediated immunity,21,4.805491990846682,6.891138210592651e-7
BP,GO:0045954,positive regulation of natural killer cell mediated cytotoxicity,9,2.059496567505721,1.7016490106847339e-6
BP,GO:0001912,positive regulation of leukocyte mediated cytotoxicity,12,2.745995423340961,1.1161321583694255e-5
BP,GO:0002703,regulation of leukocyte mediated immunity,22,5.034324942791762,2.1065509262345777e-5
BP,GO:0051960,regulation of nervous system development,31,7.093821510297483,3.674530868019134e-5
BP,GO:0002708,positive regulation of lymphocyte mediated immunity,15,3.4324942791762014,5.688485400760054e-5
BP,GO:0002831,regulation of response to biotic stimulus,30,6.864988558352403,1.1539970351027138e-4
BP,GO:0050808,synapse organization,29,6.636155606407322,3.821564038050231e-4
