Edge,From,To,Relationship,Score
1,CX3CL1,DRD4,Interaction,902
2,CX3CL1,DRD4,Interaction,902
9,TBX21,IL2RB,Interaction,862
10,TBX21,IL2RB,Interaction,862
13,TBX21,GZMB,Interaction,877
14,TBX21,GZMB,Interaction,877
17,IL2RB,GZMB,Interaction,817
18,IL2RB,GZMB,Interaction,817
19,CA12,CYP24A1,Interaction,795
20,CA12,CYP24A1,Interaction,795
21,UTS2,PROKR2,Interaction,900
22,UTS2,PROKR2,Interaction,900
27,UTS2,MLNR,Interaction,900
28,UTS2,MLNR,Interaction,900
29,PROKR2,MLNR,Interaction,902
30,PROKR2,MLNR,Interaction,902
43,NGFR,HGF,Interaction,712
44,NGFR,HGF,Interaction,712
53,ITGB4,ITGB8,Interaction,759
54,ITGB4,ITGB8,Interaction,759
59,RHOV,CHN2,Interaction,911
60,RHOV,CHN2,Interaction,911
69,CKM,LDHAL6B,Interaction,722
71,HGF,SH3GL2,Interaction,902
72,DCN,IGF2,Interaction,758
75,HGF,IGF2,Interaction,950
77,DKK4,KREMEN2,Interaction,942
78,UTS2,TACR1,Interaction,903
79,PROKR2,TACR1,Interaction,907
80,MLNR,TACR1,Interaction,907
82,UTS2,AVP,Interaction,912
83,SCT,AVP,Interaction,932
84,PROKR2,AVP,Interaction,905
85,MLNR,AVP,Interaction,908
88,SCT,AVPR2,Interaction,923
92,SFRP1,WNT5A,Interaction,957
95,STX1B,SYT1,Interaction,960
100,CX3CL1,CHRM2,Interaction,902
101,DRD4,CHRM2,Interaction,911
102,HGF,SH3GL3,Interaction,900
103,UTS2,AGTR1,Interaction,902
104,PROKR2,AGTR1,Interaction,900
105,MLNR,AGTR1,Interaction,903
108,UTS2,GRPR,Interaction,906
109,PROKR2,GRPR,Interaction,904
110,MLNR,GRPR,Interaction,904
112,USP18,IRF7,Interaction,909
114,USP18,IFIT3,Interaction,933
123,FGF20,FGF9,Interaction,961
126,HSD17B2,UGT2B17,Interaction,748
128,TMEM132A,TNC,Interaction,907
131,TMEM132A,MSLN,Interaction,900
132,PRSS21,MSLN,Interaction,904
133,LRRC7,FRK,Interaction,914
134,TMEM132A,FBN1,Interaction,902
135,DCN,FBN1,Interaction,912
136,TMEM132A,NOTUM,Interaction,900
138,TMEM132A,C3,Interaction,901
139,CX3CL1,C3,Interaction,926
140,DRD4,C3,Interaction,900
141,TMEM132A,PRSS23,Interaction,900
142,TMEM132A,ALB,Interaction,900
152,SLC10A1,ALB,Interaction,939
156,HGF,ALB,Interaction,979
159,TMEM132A,ITIH2,Interaction,917
160,TMEM132A,EVA1A,Interaction,900
161,TMEM132A,IGFBP5,Interaction,903
164,HGF,PLG,Interaction,912
166,TMEM132A,FGF23,Interaction,900
168,FGF20,FGF23,Interaction,917
169,CYP24A1,FGF23,Interaction,864
171,TMEM132A,SPP1,Interaction,900
177,HGF,SPP1,Interaction,774
179,TMEM132A,DMP1,Interaction,900
180,TMEM132A,CDH2,Interaction,910
184,TMEM132A,PROC,Interaction,900
186,TMEM132A,IGFBP3,Interaction,902
188,TMEM132A,SPARCL1,Interaction,903
190,TMEM132A,CSF1,Interaction,900
197,TMEM132A,PENK,Interaction,902
198,CX3CL1,PENK,Interaction,906
199,DRD4,PENK,Interaction,950
200,TMEM132A,CCN1,Interaction,904
204,EPX,RNASE3,Interaction,906
205,TMEM132A,LAMB2,Interaction,905
206,ITGB4,LAMB2,Interaction,911
207,HGF,LAMB2,Interaction,918
210,EPX,RNASE2,Interaction,901
211,TMEM132A,FN1,Interaction,906
213,DCN,FN1,Interaction,913
216,FAP,FN1,Interaction,741
217,CEACAM6,FN1,Interaction,923
223,HGF,FN1,Interaction,984
226,DCN,SDC1,Interaction,958
227,ITGB4,SDC1,Interaction,923
228,HGF,SDC1,Interaction,976
230,DCN,AGRN,Interaction,945
233,DCN,GPC5,Interaction,944
235,HGF,TNS4,Interaction,910
236,DCN,GPC1,Interaction,958
237,TBX21,RORC,Interaction,882
241,RHOV,RHOD,Interaction,913
242,CHN2,RHOD,Interaction,912
244,NTN1,UNC5A,Interaction,995
247,ITGB4,CDH1,Interaction,943
250,HGF,CDH1,Interaction,980
251,DCN,MET,Interaction,939
254,ITGB4,MET,Interaction,955
255,HGF,MET,Interaction,999
256,NTN1,SLIT1,Interaction,824
257,HOXA2,SLIT1,Interaction,919
258,CX3CL1,BDNF,Interaction,713
259,NGFR,BDNF,Interaction,996
261,DRD4,BDNF,Interaction,778
265,NTN1,DSCAM,Interaction,987
266,NTN1,NEO1,Interaction,995
269,DCN,VEGFA,Interaction,759
270,NGFR,VEGFA,Interaction,851
272,OSM,VEGFA,Interaction,754
276,HGF,VEGFA,Interaction,992
277,NGFR,EFNA5,Interaction,809
281,HGF,EPHA2,Interaction,765
282,NGFR,MAG,Interaction,971
