"Betweenness Dir","Bridging Dir","Centroid Dir","Closeness Dir","COMMON","Degree unDir","degree.layout","Eccentricity Dir","EigenVector Dir","gal1RGexp","gal1RGsig","gal4RGexp","gal4RGsig","gal80Rexp","gal80Rsig","InDegree","name","OutDegree","Radiality Dir","selected","shared name","Stress Dir"
"0.0","0.0","-68.0","66.0",,"65.0","65","0.5","1.0",,,,,,,"0.0","""CX3CL1""","65.0","0.001201923076923077","false","""CX3CL1""","0.0"
"4.0","0.0018924356556713326","-65.0","65.0",,"67.0","67","1.0","0.0",,,,,,,"2.0","""DRD4""","65.0","0.0012004801920768306","false","""DRD4""","8.0"
"0.0","0.0","-29.0","21.0",,"15.0","15","0.5","0.0",,,,,,,"0.0","""TBX21""","15.0","0.0011402508551881414","false","""TBX21""","0.0"
"8.5","0.04013777395072359","-25.0","21.5",,"21.0","21","0.5","0.0",,,,,,,"2.0","""IL2RB""","19.0","0.0011409013120365088","false","""IL2RB""","20.0"
"14.5","0.10159821160455108","-13.0","13.0",,"17.0","17","1.0","0.0",,,,,,,"4.0","""GZMB""","13.0","0.0011299435028248588","false","""GZMB""","32.0"
"0.0","0.0","-8.0","4.5",,"2.0","2","0.5","0.0",,,,,,,"0.0","""CA12""","2.0","0.001119194180190263","false","""CA12""","0.0"
"7.0","0.10606060606060606","-7.0","7.0",,"9.0","9","1.0","0.0",,,,,,,"2.0","""CYP24A1""","7.0","0.001122334455667789","false","""CYP24A1""","14.0"
"0.0","0.0","-35.0","34.5",,"36.0","36","0.5","0.0",,,,,,,"0.0","""UTS2""","36.0","0.0011580775911986102","false","""UTS2""","0.0"
"1.0","0.002563153248084755","-34.0","34.0",,"37.0","37","1.0","0.0",,,,,,,"2.0","""PROKR2""","35.0","0.0011574074074074073","false","""PROKR2""","2.0"
"0.0","0.0","-32.0","32.0",,"36.0","36","1.0","0.0",,,,,,,"4.0","""MLNR""","32.0","0.0011547344110854503","false","""MLNR""","0.0"
"0.0","0.0","-48.0","29.5",,"12.0","12","0.5","0.0",,,,,,,"0.0","""NGFR""","12.0","0.0011514104778353484","false","""NGFR""","0.0"
"37.0","0.036859320261003845","-39.0","39.0",,"41.0","41","1.0","0.0",,,,,,,"2.0","""HGF""","39.0","0.0011641443538998836","false","""HGF""","74.0"
"0.0","0.0","-18.0","17.5",,"18.0","18","0.5","0.0",,,,,,,"0.0","""ITGB4""","18.0","0.001135718341851221","false","""ITGB4""","0.0"
"1.0","0.051428571428571435","-5.0","5.0",,"7.0","7","1.0","0.0",,,,,,,"2.0","""ITGB8""","5.0","0.0011198208286674132","false","""ITGB8""","2.0"
"0.0","0.0","-16.0","15.0",,"15.0","15","0.5","0.0",,,,,,,"0.0","""RHOV""","15.0","0.0011325028312570782","false","""RHOV""","0.0"
"2.0","0.15189873417721517","-3.0","3.0",,"5.0","5","1.0","0.0",,,,,,,"2.0","""CHN2""","3.0","0.0011173184357541898","false","""CHN2""","4.0"
"0.0","0.0","-4.0","4.0",,"4.0","4","1.0","0.0",,,,,,,"0.0","""CKM""","4.0","0.0011185682326621924","false","""CKM""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""LDHAL6B""","0.0","0.0011135857461024498","false","""LDHAL6B""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""SH3GL2""","0.0","0.0011135857461024498","false","""SH3GL2""","0.0"
"0.0","0.0","-22.0","22.0",,"22.0","22","1.0","0.0",,,,,,,"0.0","""DCN""","22.0","0.001141552511415525","false","""DCN""","0.0"
"0.0","0.0","0.0","0.0",,"2.0","2","0.0","0.0",,,,,,,"2.0","""IGF2""","0.0","0.0011135857461024498","false","""IGF2""","0.0"
"0.0","0.0","-3.0","3.0",,"3.0","3","1.0","0.0",,,,,,,"0.0","""DKK4""","3.0","0.0011173184357541898","false","""DKK4""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""KREMEN2""","0.0","0.0011135857461024498","false","""KREMEN2""","0.0"
"0.0","0.0","0.0","0.0",,"3.0","3","0.0","0.0",,,,,,,"3.0","""TACR1""","0.0","0.0011135857461024498","false","""TACR1""","0.0"
