"Gene","fold_change.x","fold_change.y","STRING_id"
"ACBD7",2.90812603081147,2.90812603081147,"9606.ENSP00000367453"
"ACOX2",2.76122165197769,2.76122165197769,"9606.ENSP00000307697"
"ACTL8",5.04487213861444,5.04487213861444,"9606.ENSP00000364555"
"ADARB2",4.30792721071609,4.30792721071609,"9606.ENSP00000370713"
"ADAT1",2.72300812989731,2.72300812989731,"9606.ENSP00000310015"
"AKR7A2",4.72295308154566,4.72295308154566,"9606.ENSP00000235835"
"ALAS1",2.72300812989731,2.72300812989731,"9606.ENSP00000378416"
"ALDH7A1",2.72300812989731,2.72300812989731,"9606.ENSP00000387123"
"ALDOA",2.52156203363102,2.52156203363102,"9606.ENSP00000378669"
"ALG1L2",5.30789913524445,5.30789913524445,"9606.ENSP00000479850"
"AMY1C",3.14568502556819,3.14568502556819,"9606.ENSP00000359096"
"ANKRD13A",2.78991167209182,2.78991167209182,"9606.ENSP00000261739"
"ANO4",2.21264888459255,2.21264888459255,"9606.ENSP00000376703"
"ARHGAP36",6.18242041096094,6.18242041096094,"9606.ENSP00000276211"
"ARHGDIG",4.72295308154566,4.72295308154566,"9606.ENSP00000219409"
"ARHGEF4",3.45317803117294,3.45317803117294,"9606.ENSP00000316845"
"ASCC2",2.26125015667778,2.26125015667778,"9606.ENSP00000380877"
"ASF1A",3.34616722322807,3.34616722322807,"9606.ENSP00000229595"
"ASIC4",2.02627155148131,2.02627155148131,"9606.ENSP00000326627"
"ASMT",2.23894533642524,2.23894533642524,"9606.ENSP00000370639"
"ASPH",2.72300812989731,2.72300812989731,"9606.ENSP00000368767"
"ASPN",2.37250831451161,2.37250831451161,"9606.ENSP00000364694"
"ATL3",2.52043418206365,2.52043418206365,"9606.ENSP00000381844"
"ATP5F1C",2.72300812989731,2.72300812989731,"9606.ENSP00000349142"
"ATP5PO",7.24659951020689,7.24659951020689,"9606.ENSP00000290299"
"ATP9B",6.42344172125993,6.42344172125993,"9606.ENSP00000398076"
"ATXN7L3B",2.72300812989731,2.72300812989731,"9606.ENSP00000430000"
"B3GAT3",2.7183587856018,2.7183587856018,"9606.ENSP00000265471"
"B4GALT3",2.19986261868463,2.19986261868463,"9606.ENSP00000480428"
"B9D2",2.46287148065959,2.46287148065959,"9606.ENSP00000243578"
"BAIAP3",4.08314326065824,4.08314326065824,"9606.ENSP00000324510"
"BCKDHA",2.95703008834358,2.95703008834358,"9606.ENSP00000269980"
"BOLA3",3.06034533628248,3.06034533628248,"9606.ENSP00000331369"
"CAPN1",6.81048331526812,6.81048331526812,"9606.ENSP00000431984"
"CAPZA2",2.19668053651882,2.19668053651882,"9606.ENSP00000354947"
"CASTOR2",2.35527721246004,2.35527721246004,"9606.ENSP00000484732"
"CBWD5",2.18658666815058,2.18658666815058,"9606.ENSP00000366612"
"CCDC188",2.32135557792596,2.32135557792596,"9606.ENSP00000409542"
"CCDC27",2.92388681925081,2.92388681925081,"9606.ENSP00000294600"
"CCNB1",4.93116223089881,4.93116223089881,"9606.ENSP00000256442"
"CCNE2",3.72298129589468,3.72298129589468,"9606.ENSP00000429089"
"CCR3",3.34616722322807,3.34616722322807,"9606.ENSP00000441600"
"CCR5",2.20281471999381,2.20281471999381,"9606.ENSP00000292303"
"CCZ1",3.72298129589468,3.72298129589468,"9606.ENSP00000325681"
"CD53",2.60722593669872,2.60722593669872,"9606.ENSP00000271324"
"CDC123",4.72295308154566,4.72295308154566,"9606.ENSP00000281141"
"CDH17",2.6356769285485,2.6356769285485,"9606.ENSP00000027335"
"CDR2L",6.1351670766065,6.1351670766065,"9606.ENSP00000336587"
"CEP89",4.34618484301545,4.34618484301545,"9606.ENSP00000306105"
"CFAP73",2.53644689349719,2.53644689349719,"9606.ENSP00000333915"
"CHCHD3",2.72300812989731,2.72300812989731,"9606.ENSP00000262570"
"CHD6",5.30789913524445,5.30789913524445,"9606.ENSP00000362330"
"CHD7",2.7870307048576,2.7870307048576,"9606.ENSP00000392028"
"CHMP2B",2.52369958072183,2.52369958072183,"9606.ENSP00000263780"
"CLEC9A",6.30795836949966,6.30795836949966,"9606.ENSP00000348074"
"CLRN1",4.30792721071609,4.30792721071609,"9606.ENSP00000329158"
"CLSPN",3.72298129589468,3.72298129589468,"9606.ENSP00000312995"
"CLYBL",3.84404431902934,3.84404431902934,"9606.ENSP00000365533"
"CNOT6",2.78340805512448,2.78340805512448,"9606.ENSP00000377024"
"CNPY1",2.34247436358864,2.34247436358864,"9606.ENSP00000317439"
"CNTNAP1",2.80734721458094,2.80734721458094,"9606.ENSP00000264638"
"COMMD3",5.04487213861444,5.04487213861444,"9606.ENSP00000366032"
"COMMD3-BMI1",3.72298129589468,3.72298129589468,"9606.ENSP00000473391"
"COX4I2",3.72298129589468,3.72298129589468,"9606.ENSP00000365243"
"COX5A",2.29177650357947,2.29177650357947,"9606.ENSP00000317780"
"CREG2",2.06947685765231,2.06947685765231,"9606.ENSP00000315203"
"CRMP1",2.51905393989297,2.51905393989297,"9606.ENSP00000321606"
"CSH1",2.76122165197769,2.76122165197769,"9606.ENSP00000316416"
"CSTF2",4.30792721071609,4.30792721071609,"9606.ENSP00000362063"
"CTAGE9",2.78751862648348,2.78751862648348,"9606.ENSP00000395587"
"CYLD",4.72295308154566,4.72295308154566,"9606.ENSP00000392025"
"CYSTM1",3.50525592962869,3.50525592962869,"9606.ENSP00000261811"
"DBN1",2.340100793029,2.340100793029,"9606.ENSP00000292385"
"DCAKD",4.72295308154566,4.72295308154566,"9606.ENSP00000308515"
"DDT",5.53030004520881,5.53030004520881,"9606.ENSP00000381386"
"DDX31",2.1318079083357,2.1318079083357,"9606.ENSP00000361232"
"DEFB104A",3.76120468090955,3.76120468090955,"9606.ENSP00000320813"
"DEFB130A",5.30789913524445,5.30789913524445,"9606.ENSP00000392568"
"DEK",2.37121960750657,2.37121960750657,"9606.ENSP00000380414"
"DGUOK",5.53030004520881,5.53030004520881,"9606.ENSP00000264093"
"DNMBP",5.04487213861444,5.04487213861444,"9606.ENSP00000315659"
"DPM3",2.67878875156984,2.67878875156984,"9606.ENSP00000357384"
"DPP10",3.28700917644034,3.28700917644034,"9606.ENSP00000376855"
"DPP7",2.09455498636625,2.09455498636625,"9606.ENSP00000360635"
"DSG2",2.72300812989731,2.72300812989731,"9606.ENSP00000261590"
